shirt_id,pants_id,shoes_id,rating
shirt_1,pants_1,shoe_1,5
shirt_1,pants_1,shoe_2,2
shirt_1,pants_1,shoe_3,3
shirt_1,pants_1,shoe_4,2
shirt_1,pants_2,shoe_1,5
shirt_1,pants_2,shoe_2,2
shirt_1,pants_2,shoe_3,2
shirt_1,pants_2,shoe_4,2
shirt_1,pants_3,shoe_1,3
shirt_1,pants_3,shoe_2,2
shirt_1,pants_3,shoe_3,4
shirt_1,pants_3,shoe_4,1
shirt_1,pants_4,shoe_1,2
shirt_1,pants_4,shoe_2,2
shirt_1,pants_4,shoe_3,1
shirt_1,pants_4,shoe_4,1
shirt_1,pants_5,shoe_1,4
shirt_1,pants_5,shoe_2,1
shirt_1,pants_5,shoe_3,2
shirt_1,pants_5,shoe_4,2
shirt_2,pants_1,shoe_1,5
shirt_2,pants_1,shoe_2,2
shirt_2,pants_1,shoe_3,2
shirt_2,pants_1,shoe_4,1
shirt_2,pants_2,shoe_1,5
shirt_2,pants_2,shoe_2,2
shirt_2,pants_2,shoe_3,2
shirt_2,pants_2,shoe_4,1
shirt_2,pants_3,shoe_1,1
shirt_2,pants_3,shoe_2,1
shirt_2,pants_3,shoe_3,1
shirt_2,pants_3,shoe_4,1
shirt_2,pants_4,shoe_1,3
shirt_2,pants_4,shoe_2,2
shirt_2,pants_4,shoe_3,1
shirt_2,pants_4,shoe_4,1
shirt_2,pants_5,shoe_1,1
shirt_2,pants_5,shoe_2,1
shirt_2,pants_5,shoe_3,1
shirt_2,pants_5,shoe_4,2
shirt_3,pants_1,shoe_1,2
shirt_3,pants_1,shoe_2,5
shirt_3,pants_1,shoe_3,3
shirt_3,pants_1,shoe_4,4
shirt_3,pants_2,shoe_1,2
shirt_3,pants_2,shoe_2,1
shirt_3,pants_2,shoe_3,3
shirt_3,pants_2,shoe_4,2
shirt_3,pants_3,shoe_1,1
shirt_3,pants_3,shoe_2,1
shirt_3,pants_3,shoe_3,1
shirt_3,pants_3,shoe_4,4
shirt_3,pants_4,shoe_1,1
shirt_3,pants_4,shoe_2,1
shirt_3,pants_4,shoe_3,1
shirt_3,pants_4,shoe_4,2
shirt_3,pants_5,shoe_1,3
shirt_3,pants_5,shoe_2,1
shirt_3,pants_5,shoe_3,2
shirt_3,pants_5,shoe_4,1
shirt_4,pants_1,shoe_1,4
shirt_4,pants_1,shoe_2,4
shirt_4,pants_1,shoe_3,3
shirt_4,pants_1,shoe_4,2
shirt_4,pants_2,shoe_1,5
shirt_4,pants_2,shoe_2,2
shirt_4,pants_2,shoe_3,2
shirt_4,pants_2,shoe_4,1
shirt_4,pants_3,shoe_1,2
shirt_4,pants_3,shoe_2,1
shirt_4,pants_3,shoe_3,3
shirt_4,pants_3,shoe_4,1
shirt_4,pants_4,shoe_1,1
shirt_4,pants_4,shoe_2,3
shirt_4,pants_4,shoe_3,3
shirt_4,pants_4,shoe_4,1
shirt_4,pants_5,shoe_1,4
shirt_4,pants_5,shoe_2,2
shirt_4,pants_5,shoe_3,3
shirt_4,pants_5,shoe_4,2
shirt_5,pants_1,shoe_1,4
shirt_5,pants_1,shoe_2,5
shirt_5,pants_1,shoe_3,2
shirt_5,pants_1,shoe_4,1
shirt_5,pants_2,shoe_1,5
shirt_5,pants_2,shoe_2,5
shirt_5,pants_2,shoe_3,4
shirt_5,pants_2,shoe_4,2
shirt_5,pants_3,shoe_1,3
shirt_5,pants_3,shoe_2,2
shirt_5,pants_3,shoe_3,3
shirt_5,pants_3,shoe_4,1
shirt_5,pants_4,shoe_1,2
shirt_5,pants_4,shoe_2,1
shirt_5,pants_4,shoe_3,1
shirt_5,pants_4,shoe_4,2
shirt_5,pants_5,shoe_1,3
shirt_5,pants_5,shoe_2,1
shirt_5,pants_5,shoe_3,3
shirt_5,pants_5,shoe_4,3
